lyrics,emotion
"잠깐 내 얘길 들어봐 아무도 모르는 비밀";"0: 그리움"
"요즘 내 안에 누군가 생긴 것만 같아 정말이야 점점 커지는 것 같아";"2: 설렘 심쿵"
"내 맘 묻지 마 그게 누구냐고 고백이 참 어려워";"3: 스트레스 짜증"
"오늘도 나만 혼자 말하는 거야 너만 몰라";"4: 외로움"
"사실은 내가 말한 그 사람 반한 그 사랑 구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야";"2: 설렘 심쿵"
"자꾸 말해 달래 누구인지 대신 물어봐 준다고 너인 줄도 모르고";"2: 설렘 심쿵"
"그렇게 바보처럼 말하는 거야 너만 몰라";"4: 외로움"
"사실은 내가 말한 그 사람 반한 그 사랑 구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야";"2: 설렘 심쿵"
"다가갈까 조금씩 말해볼까 넌 어때 자신이 없어 걱정돼";"3: 스트레스 짜증, 2: 설렘 심쿵"
"지금 이렇게 좋은 우리 가까운 사이 깨어질까";"3: 스트레스 짜증"
"모두들 물어봐 언제쯤 고백해 답답하게 또 기다려";"3: 스트레스 짜증"
"나를 알아주길 내 맘 알아주길";"0: 그리움"
"구름에 가려진 별처럼 보이지 않아도 내 맘 항상 너야";"2: 설렘 심쿵"
